Column,Type,Name,Size,Score,P value,Benj. Hoch. FDR,Mean,Median
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,3,0.977399823,0.003369381,0.087714791,0.433694695,0.445945293
Type_2_pneumocytes avg_logFC,GOBP name,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",3,0.977399823,0.003369381,0.087493289,0.433694695,0.445945293
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of peptide antigen via MHC class Ib,4,0.960514897,0.000878367,0.032258029,0.309555598,0.24986919
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of endogenous antigen,7,0.9471622,1.43E-05,0.001056761,0.301813796,0.231028706
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen,7,0.9471622,1.43E-05,0.001049213,0.301813796,0.231028706
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen via MHC class I,5,0.944225874,0.000255845,0.012527888,0.325996238,0.231028706
Mki67+_proliferating_cells avg_logFC,GOBP name,antigen processing and presentation of endogenous antigen,7,0.943370247,1.55E-05,0.053084518,0.57200451,0.584360778
Mki67+_proliferating_cells avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen,7,0.943370247,1.55E-05,0.039813389,0.57200451,0.584360778
Mki67+_proliferating_cells avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen via MHC class I,5,0.933514538,0.000300817,0.093736428,0.537441975,0.584360778
Alveolar_macrophage avg_logFC,GOBP name,antigen processing and presentation of endogenous antigen,7,0.921943739,2.40E-05,0.00772115,0.30859517,0.280178905
Alveolar_macrophage avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen,7,0.921943739,2.40E-05,0.007487176,0.30859517,0.280178905
Alveolar_macrophage avg_logFC,GOBP name,antigen processing and presentation of endogenous peptide antigen via MHC class I,5,0.91493929,0.000395855,0.05427432,0.322611955,0.324059695
Type_2_pneumocytes avg_logFC,GOCC name,zymogen granule,3,0.908365151,0.006434427,0.097086539,0.256189262,0.137419805
Type_2_pneumocytes avg_logFC,GOBP name,neutral amino acid transport,4,0.862105872,0.002826612,0.078556903,0.156749828,0.145117775
Alveolar_macrophage avg_logFC,Keywords,Peptidetransport,4,0.84951033,0.003257873,0.061790985,0.203980502,0.183595657
non-classical_monocyte_(Ly6c2-) avg_logFC,GOMF name,retinoic acid receptor binding,8,0.819608112,5.98E-05,0.019805612,0.501790848,0.492815644
Type_2_pneumocytes avg_logFC,GOCC name,alpha-beta T cell receptor complex,5,0.785026614,0.002366822,0.047817817,0.130366667,0.101174697
Type_2_pneumocytes avg_logFC,GOCC name,immunoglobulin complex,4,0.782817472,0.006700635,0.099839459,0.221884619,0.242629044
Type_2_pneumocytes avg_logFC,GOCC name,integral to lumenal side of endoplasmic reticulum membrane,11,0.761136074,1.24E-05,0.000641341,0.253650663,0.080222063
Fn1+_macrophage avg_logFC,KEGG name,Nicotinate and nicotinamide metabolism,8,0.756153689,0.000213669,0.02927266,0.819708493,0.729933947
B_cells avg_logFC,GOBP name,positive regulation of granulocyte differentiation,8,0.750027529,0.000239573,0.057291268,0.301175842,0.230890654
Type_2_pneumocytes avg_logFC,GOBP name,integrin activation,5,0.749895857,0.003686278,0.092453646,0.107765828,0.116101198
Type_2_pneumocytes avg_logFC,GOCC name,uropod,7,0.741646965,0.000679134,0.016865154,0.127375896,0.122371301
Type_2_pneumocytes avg_logFC,GOBP name,cilium axoneme assembly,6,0.7319524,0.00190419,0.058801145,0.092710078,0.088241033
Mki67+_proliferating_cells avg_logFC,GOCC name,integral to lumenal side of endoplasmic reticulum membrane,10,0.730496045,6.35E-05,0.018933418,0.448825066,0.308381245
Type_2_pneumocytes avg_logFC,GOCC name,GPI-anchor transamidase complex,5,0.729507059,0.004729853,0.075173133,0.085608145,0.095960423
Type_2_pneumocytes avg_logFC,GOBP name,negative regulation of erythrocyte differentiation,8,0.71571379,0.000455999,0.020124638,0.088890339,0.073751662
Type_2_pneumocytes avg_logFC,GOBP name,hydrogen peroxide biosynthetic process,6,0.715346487,0.002410595,0.07002301,0.166017917,0.143394347
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation via MHC class Ib,7,0.690016037,0.001570562,0.050627246,0.19025682,0.144699797
Type_2_pneumocytes avg_logFC,GOCC name,motile primary cilium,8,0.678187026,0.000895158,0.021340572,0.09992306,0.078129493
Type_2_pneumocytes avg_logFC,GOBP name,spermatid nucleus differentiation,6,0.677447974,0.004058397,0.09865839,0.098858905,0.093289554
Type_2_pneumocytes avg_logFC,GOBP name,neutrophil activation involved in immune response,8,0.674715005,0.000951274,0.033965099,0.151198694,0.130736697
Type_2_pneumocytes avg_logFC,GOBP name,acrosome assembly,7,0.67029279,0.002133739,0.06434381,0.105535863,0.114788599
Type_2_pneumocytes avg_logFC,GOBP name,respiratory burst,7,0.665399177,0.002299588,0.067369398,0.09538088,0.103559501
B_cells avg_logFC,GOBP name,regulation of granulocyte differentiation,13,0.650770248,4.87E-05,0.017870376,0.262445725,0.206991807
Cd103+/Cd11b-_dendritic_cells avg_logFC,KEGG name,Phototransduction,6,0.646938092,0.006070992,0.072323988,0.245278541,0.220902354
Type_2_pneumocytes avg_logFC,GOCC name,phagocytic cup,13,0.629526066,8.50E-05,0.003070935,0.109998309,0.095503353
Type_2_pneumocytes avg_logFC,GOBP name,positive regulation of T cell mediated cytotoxicity,14,0.629431466,4.55E-05,0.002872909,0.198700147,0.114786401
Alveolar_macrophage avg_logFC,GOBP name,regulation of T cell mediated cytotoxicity,14,0.62760102,4.80E-05,0.012333456,0.171539028,0.131709144
Ciliated_cells avg_logFC,Keywords,MHCI,10,0.627588005,0.000589914,0.033566094,0.28487032,0.225148693
Type_2_pneumocytes avg_logFC,GOMF name,peptide antigen binding,9,0.615316358,0.001391767,0.067787237,0.164179618,0.1129639
B_cells avg_logFC,GOCC name,Sin3 complex,9,0.61277113,0.001458158,0.072421872,0.212509375,0.130206898
B_cells avg_logFC,GOCC name,Sin3-type complex,9,0.61277113,0.001458158,0.069524997,0.212509375,0.130206898
Plasma_cells avg_logFC,GOBP name,positive regulation of mRNA processing,14,0.612571639,7.27E-05,0.053416982,0.275511135,0.266252905
non-classical_monocyte_(Ly6c2-) avg_logFC,Keywords,Citrullination,8,0.612199689,0.002718232,0.096667117,0.431097787,0.403789252
Type_2_pneumocytes avg_logFC,Keywords,MHCI,10,0.612003009,0.000805167,0.008644155,0.310941641,0.229305394
Type_2_pneumocytes avg_logFC,GOBP name,actin filament polymerization,10,0.611783089,0.000808676,0.030684913,0.074626625,0.070969895
Type_2_pneumocytes avg_logFC,KEGG name,Phosphonate and phosphinate metabolism,6,0.611718645,0.009465225,0.042515931,0.094170479,0.075442495
Alveolar_macrophage avg_logFC,GOCC name,"proton-transporting V-type ATPase, V1 domain",8,0.610859501,0.002774421,0.071893691,0.291882029,0.257417053
Type_2_pneumocytes avg_logFC,GOBP name,toxin metabolic process,9,0.606430041,0.001631633,0.051944537,0.089896741,0.094254263
Ciliated_cells avg_logFC,Keywords,Annexin,11,0.603458801,0.000529734,0.033490978,0.130878609,0.080835797
Alveolar_macrophage avg_logFC,GOBP name,positive regulation of T cell mediated cytotoxicity,12,0.600715884,0.000314899,0.046929143,0.176098617,0.127095945
Type_2_pneumocytes avg_logFC,GOBP name,regulation of T cell mediated cytotoxicity,16,0.592832745,4.04E-05,0.002628571,0.188780559,0.114786401
Type_2_pneumocytes avg_logFC,GOBP name,entrainment of circadian clock,8,0.587871072,0.003986616,0.097143054,0.104863955,0.069774853
Mesothelial_cells avg_logFC,GOBP name,response to interferon-beta,20,0.587746276,5.39E-06,0.013867141,0.30310273,0.293916002
CD209+/Cd11b+_dendritic_cells avg_logFC,GOBP name,DNA methylation,14,0.581841892,0.00016441,0.099448987,0.242967432,0.222752802
Mki67+_proliferating_cells avg_logFC,Keywords,MHCI,10,0.571234344,0.001763813,0.083634119,0.389719393,0.272035748
Type_2_pneumocytes avg_logFC,GOBP name,superoxide anion generation,11,0.570720517,0.001047671,0.03664353,0.106307293,0.05115664
Type_2_pneumocytes avg_logFC,GOBP name,platelet formation,9,0.568415638,0.003149873,0.084130237,0.078192217,0.059641771
Cd4+_T_cells avg_logFC,GOBP name,cellular alkene metabolic process,16,0.564663756,9.25E-05,0.09508062,0.183156187,0.139128156
Cd4+_T_cells avg_logFC,GOBP name,leukotriene metabolic process,16,0.564663756,9.25E-05,0.086436928,0.183156187,0.139128156
B_cells avg_logFC,Keywords,MHCII,9,0.557235967,0.003798585,0.090058111,0.168190039,0.156231701
Mesothelial_cells avg_logFC,GOCC name,MHC class I protein complex,18,0.555204107,4.57E-05,0.05442589,0.369482633,0.298003703
Type_2_pneumocytes avg_logFC,GOBP name,mRNA splice site selection,10,0.550807338,0.00256187,0.072572195,0.106245827,0.124176204
Interstitial macrophages,KEGG name,Graft-versus-host disease,27,0.548822355,8.06E-07,0.00011043,0.258252181,0.230345607
Type_2_pneumocytes avg_logFC,GOBP name,regulation of macrophage differentiation,10,0.544666937,0.002860777,0.078866949,0.074406399,0.077108078
Type_2_pneumocytes avg_logFC,GOBP name,mRNA transcription,10,0.541281324,0.003038885,0.082668936,0.071253957,0.075901762
Mki67+_proliferating_cells avg_logFC,GOCC name,MHC class I protein complex,17,0.540493615,0.000114769,0.022800858,0.32344407,0.254055291
Ciliated_cells avg_logFC,Keywords,Calcium/phospholipid-binding,11,0.537388356,0.002029679,0.067934555,0.124081744,0.080835797
Type_2_pneumocytes avg_logFC,GOBP name,vesicle transport along microtubule,11,0.530932663,0.002296675,0.06747631,0.065641111,0.061648332
Type_2_pneumocytes avg_logFC,GOBP name,cytoplasmic sequestering of protein,13,0.530509199,0.000927351,0.033695924,0.082071475,0.076036923
Mki67+_proliferating_cells avg_logFC,KEGG name,Graft-versus-host disease,30,0.521035545,7.95E-07,0.000217743,0.281617166,0.243586093
B_cells avg_logFC,GOBP name,induction of apoptosis by extracellular signals,18,0.515827538,0.000151926,0.043395888,0.178439973,0.169885546
B_cells avg_logFC,KEGG name,Graft-versus-host disease,28,0.513614069,2.57E-06,8.81E-05,0.200462329,0.166034549
Type_2_pneumocytes avg_logFC,GOBP name,muscle adaptation,14,0.510241885,0.000948711,0.033991624,0.070786173,0.054227125
Type_2_pneumocytes avg_logFC,GOBP name,neutrophil activation,15,0.508926711,0.000643925,0.025966595,0.127384764,0.1195608
vascular_endothelial_cells avg_logFC,KEGG name,Asthma,12,0.507969876,0.002317039,0.057715326,0.242474792,0.185149744
Type_2_pneumocytes avg_logFC,Keywords,Cholesterolbiosynthesis,16,0.507678168,0.000438814,0.006089883,0.099662109,0.065220922
Type_2_pneumocytes avg_logFC,GOBP name,vesicle coating,12,0.503839401,0.002511936,0.071950518,0.062387745,0.072634064
Type_2_pneumocytes avg_logFC,GOBP name,striated muscle adaptation,11,0.503467363,0.003837785,0.094865243,0.063354341,0.056239981
Type_2_pneumocytes avg_logFC,GOCC name,MHC class I protein complex,23,0.4994032,3.39E-05,0.001443642,0.185406483,0.05838925
B_cells avg_logFC,KEGG name,MAPK signaling pathway - fly,11,0.496405423,0.004366746,0.041258219,0.154447127,0.213104501
Type_2_pneumocytes avg_logFC,GOBP name,antigen processing and presentation of peptide antigen via MHC class I,18,0.494933704,0.000277974,0.013419735,0.205638958,0.1283013
Type_2_pneumocytes avg_logFC,GOBP name,N-terminal protein amino acid modification,13,0.4945144,0.002021937,0.061696064,0.080903078,0.059818652
Type_2_pneumocytes avg_logFC,GOMF name,antigen binding,19,0.490726237,0.000213268,0.014415158,0.133247974,0.085967153
Interstitial macrophages,KEGG name,Autoimmune thyroid disease,25,0.488546818,2.37E-05,0.00081272,0.246021681,0.230345607
Mki67+_proliferating_cells avg_logFC,KEGG name,Type I diabetes mellitus,33,0.483627658,1.55E-06,0.000141129,0.25908656,0.220033795
Type_2_pneumocytes avg_logFC,KEGG name,"Valine, leucine and isoleucine biosynthesis",9,0.479423868,0.012758533,0.055489495,0.068594926,0.071740448
